Poster,PosterParty,TweetDate,TotalTweetCount
François De Smet,DéFI,2024-04-20,9
François De Smet,DéFI,2024-04-18,9
Denis Ducarme,MR,2024-03-06,9
Barbara Pas,VB,2024-03-04,9
Dominiek Sneppe,VB,2024-03-03,9
Catherine Fonck,Les Engagés,2024-02-07,9
François De Smet,DéFI,2024-02-26,9
Catherine Fonck,Les Engagés,2024-04-16,9
Eric THIEBAUT,PS,2024-03-11,9
Theo Francken MP,N-VA,2024-03-20,9
Frieda Gijbels,N-VA,2024-03-15,9
Dominiek Sneppe,VB,2024-04-26,9
Theo Francken MP,N-VA,2024-02-14,9
Joris De Vriendt,VB,2024-03-01,9
Peter Mertens MP,PVDA-PTB,2024-03-01,9
Ahmed Laaouej,PS,2024-04-07,9
Catherine Fonck,Les Engagés,2024-02-29,9
Eric THIEBAUT,PS,2024-04-08,9
Joris De Vriendt,VB,2024-04-02,9
Theo Francken MP,N-VA,2024-02-04,9
Barbara Pas,VB,2024-02-23,9
Wouter Vermeersch,VB,2024-03-12,9
Sophie Rohonyi,DéFI,2024-02-20,9
Bert Wollants,N-VA,2024-02-27,9
Valerie Van Peel,N-VA,2024-02-27,9
Theo Francken MP,N-VA,2024-03-12,9
Marie Christine Marghem,MR,2024-03-27,9
André Flahaut,PS,2024-02-29,9
Peter Mertens MP,PVDA-PTB,2024-03-24,9
Tomas Roggeman,N-VA,2024-02-01,9
Eric THIEBAUT,PS,2024-02-12,9
Pieter De Spiegeleer,VB,2024-03-15,9
Eva Platteau,Ecolo-Groen,2024-04-17,9
Catherine Fonck,Les Engagés,2024-03-16,9
Joris Vandenbroucke,Vooruit,2024-01-28,9
Theo Francken MP,N-VA,2024-02-12,9
Ben Achour Malik,PS,2024-01-27,9
Sophie Rohonyi,DéFI,2024-04-26,9
François De Smet,DéFI,2024-04-13,9
Sofie Merckx,PVDA-PTB,2024-02-06,9
Denis Ducarme,MR,2024-03-26,9
François De Smet,DéFI,2024-03-27,9
Denis Ducarme,MR,2024-03-07,9
Joris Vandenbroucke,Vooruit,2024-04-30,9
Theo Francken MP,N-VA,2024-02-17,9
Georges Dallemagne,Les Engagés,2024-02-23,9
André Flahaut,PS,2024-04-23,9
Pieter De Spiegeleer,VB,2024-02-19,9
Raoul Hedebouw,PVDA-PTB,2024-04-16,9
Wouter Vermeersch,VB,2024-03-24,9
Theo Francken MP,N-VA,2024-03-19,9
Robby De Caluwé,Open Vld,2024-04-24,9
